Date,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2025,260990009,1,2.5,ug/m3 LC,14,New Haven,99,Macomb,42.73139412,-82.79346283
01/02/2025,260990009,1,4.7,ug/m3 LC,26,New Haven,99,Macomb,42.73139412,-82.79346283
01/03/2025,260990009,1,3.4,ug/m3 LC,19,New Haven,99,Macomb,42.73139412,-82.79346283
01/04/2025,260990009,1,1.9,ug/m3 LC,11,New Haven,99,Macomb,42.73139412,-82.79346283
01/05/2025,260990009,1,3.5,ug/m3 LC,19,New Haven,99,Macomb,42.73139412,-82.79346283
01/06/2025,260990009,1,3,ug/m3 LC,17,New Haven,99,Macomb,42.73139412,-82.79346283
01/07/2025,260990009,1,2.7,ug/m3 LC,15,New Haven,99,Macomb,42.73139412,-82.79346283
01/08/2025,260990009,1,4.4,ug/m3 LC,24,New Haven,99,Macomb,42.73139412,-82.79346283
01/09/2025,260990009,1,6.1,ug/m3 LC,34,New Haven,99,Macomb,42.73139412,-82.79346283
01/10/2025,260990009,1,19.6,ug/m3 LC,71,New Haven,99,Macomb,42.73139412,-82.79346283
01/11/2025,260990009,1,15.9,ug/m3 LC,64,New Haven,99,Macomb,42.73139412,-82.79346283
01/12/2025,260990009,1,13.6,ug/m3 LC,59,New Haven,99,Macomb,42.73139412,-82.79346283
01/13/2025,260990009,1,6.4,ug/m3 LC,36,New Haven,99,Macomb,42.73139412,-82.79346283
01/14/2025,260990009,1,6.4,ug/m3 LC,36,New Haven,99,Macomb,42.73139412,-82.79346283
01/15/2025,260990009,1,5.8,ug/m3 LC,32,New Haven,99,Macomb,42.73139412,-82.79346283
01/16/2025,260990009,1,15.1,ug/m3 LC,62,New Haven,99,Macomb,42.73139412,-82.79346283
01/17/2025,260990009,1,9.9,ug/m3 LC,52,New Haven,99,Macomb,42.73139412,-82.79346283
01/18/2025,260990009,1,5.7,ug/m3 LC,32,New Haven,99,Macomb,42.73139412,-82.79346283
01/19/2025,260990009,1,3.1,ug/m3 LC,17,New Haven,99,Macomb,42.73139412,-82.79346283
01/20/2025,260990009,1,3.4,ug/m3 LC,19,New Haven,99,Macomb,42.73139412,-82.79346283
01/21/2025,260990009,1,4.5,ug/m3 LC,25,New Haven,99,Macomb,42.73139412,-82.79346283
01/22/2025,260990009,1,7.2,ug/m3 LC,40,New Haven,99,Macomb,42.73139412,-82.79346283
01/23/2025,260990009,1,9.2,ug/m3 LC,51,New Haven,99,Macomb,42.73139412,-82.79346283
01/24/2025,260990009,1,8.7,ug/m3 LC,48,New Haven,99,Macomb,42.73139412,-82.79346283
01/25/2025,260990009,1,13.5,ug/m3 LC,59,New Haven,99,Macomb,42.73139412,-82.79346283
01/26/2025,260990009,1,4.4,ug/m3 LC,24,New Haven,99,Macomb,42.73139412,-82.79346283
01/27/2025,260990009,1,5.8,ug/m3 LC,32,New Haven,99,Macomb,42.73139412,-82.79346283
01/28/2025,260990009,1,3.6,ug/m3 LC,20,New Haven,99,Macomb,42.73139412,-82.79346283
01/29/2025,260990009,1,3.2,ug/m3 LC,18,New Haven,99,Macomb,42.73139412,-82.79346283
01/30/2025,260990009,1,6.8,ug/m3 LC,38,New Haven,99,Macomb,42.73139412,-82.79346283
01/31/2025,260990009,1,11.6,ug/m3 LC,56,New Haven,99,Macomb,42.73139412,-82.79346283
